date,num_ech,num_httpsrr
2023-05-08,153103,199770
2023-05-09,153363,200007
2023-05-10,153111,199760
2023-05-11,153112,199731
2023-05-12,153288,199899
2023-05-13,153520,200042
2023-05-14,153512,200015
2023-05-15,153738,200199
2023-05-16,154445,200918
2023-05-17,154384,200875
2023-05-18,154322,200928
2023-05-19,154399,201073
2023-05-20,154709,201347
2023-05-21,154652,201305
2023-05-22,154836,201476
2023-05-23,154860,201501
2023-05-24,154569,201223
2023-05-25,154493,201171
2023-05-26,154678,201369
2023-05-27,154781,201491
2023-05-28,154774,201504
2023-05-29,154936,201666
2023-05-30,155118,201907
2023-05-31,155134,201938
2023-06-01,155183,202023
2023-06-02,155176,202046
2023-06-03,155101,201997
2023-06-04,154901,201830
2023-06-05,155039,201971
2023-06-06,155185,202119
2023-06-07,155055,201995
2023-06-08,154996,201981
2023-06-09,155070,202082
2023-06-10,154983,202077
2023-06-11,155143,202213
2023-06-12,155292,202363
2023-06-13,155632,202658
2023-06-14,155114,202310
2023-06-15,155101,202280
2023-06-16,155286,202407
2023-06-17,155227,202300
2023-06-18,155272,202294
2023-06-19,155275,202260
2023-06-20,155561,202517
2023-06-21,155325,202411
2023-06-22,155449,202656
2023-06-23,155697,202862
2023-06-24,155966,203208
2023-06-25,156052,203260
2023-06-26,156085,203270
2023-06-27,156035,203106
2023-06-28,156158,203183
2023-06-29,156075,203050
2023-06-30,156105,203042
2023-07-01,156112,203033
2023-07-02,156200,203105
2023-07-03,156331,203203
2023-07-04,156443,203290
2023-07-05,156328,203202
2023-07-06,156187,203095
2023-07-07,156427,203267
2023-07-08,156535,203359
2023-07-09,156695,203516
2023-07-10,156894,203680
2023-07-11,157118,203879
2023-07-12,157321,204030
2023-07-13,157472,204169
2023-07-14,157548,204163
2023-07-15,157636,204220
2023-07-16,157612,204120
2023-07-17,157495,203948
2023-07-18,157759,204159
2023-07-19,157782,204164
2023-07-20,157808,204157
2023-07-21,157952,204274
2023-07-22,157934,204251
2023-07-23,157944,204197
2023-07-24,158397,204614
2023-07-25,158319,204517
2023-07-26,158298,204488
2023-07-27,158472,204685
2023-07-28,158643,204821
2023-07-29,158742,204929
2023-07-30,158921,205099
2023-07-31,159086,205228
2023-08-01,158945,205058
2023-08-02,182747,238284
2023-08-03,182692,238237
2023-08-04,183132,238763
2023-08-05,185280,241021
2023-08-06,185102,240838
2023-08-07,185099,240787
2023-08-08,184800,240474
2023-08-09,184968,240655
2023-08-10,184732,240494
2023-08-11,185229,241080
2023-08-12,185464,241272
2023-08-13,185674,241486
2023-08-14,184457,240213
2023-08-15,184362,240154
2023-08-16,184289,240078
2023-08-17,184308,240097
2023-08-18,184431,240256
2023-08-19,184137,239979
2023-08-20,183963,239846
2023-08-21,184267,240108
2023-08-22,184375,240221
2023-08-23,184621,240473
2023-08-24,184455,240389
2023-08-25,184570,240557
2023-08-26,184628,240612
2023-08-27,184852,240783
2023-08-28,185601,241466
2023-08-29,185625,241525
2023-08-30,186085,241973
2023-08-31,186014,241985
2023-09-01,187156,243178
2023-09-02,190724,246758
2023-09-03,193150,249108
2023-09-04,195755,251610
2023-09-05,197628,253399
2023-09-06,198286,254017
2023-09-07,198326,254092
2023-09-08,198589,254132
2023-09-09,199136,253234
2023-09-10,199641,253684
2023-09-11,199832,253834
2023-09-12,200189,254161
2023-09-13,200158,254160
2023-09-14,200472,254474
2023-09-15,200738,254797
2023-09-16,200783,254871
2023-09-17,200972,255043
2023-09-18,197853,251757
2023-09-19,198796,252777
2023-09-20,199243,253212
2023-09-21,199480,253479
2023-09-22,199480,253479
2023-09-23,199958,254024
2023-09-24,200317,254351
2023-09-25,200830,254835
2023-09-26,201246,255234
2023-09-27,201235,255179
2023-09-28,201087,255010
2023-09-29,200784,254740
2023-09-30,200735,254700
2023-10-01,200909,254805
2023-10-02,201471,255336
2023-10-03,202188,256002
2023-10-04,202335,256205
2023-10-05,202173,256046
2023-10-06,1,254425
2023-10-07,1,258574
2023-10-08,1,258372
2023-10-09,1,257840
2023-10-10,1,257397
2023-10-11,1,257694
2023-10-12,1,258038
2023-10-13,1,258273
2023-10-14,1,258445
2023-10-15,1,258807
2023-10-16,2,255771
2023-10-17,2,256040
2023-10-18,2,256490
2023-10-19,2,256638
2023-10-20,2,257193
2023-10-21,2,255367
2023-10-22,2,254610
2023-10-23,2,254742
2023-10-24,2,254774
2023-10-25,2,254741
2023-10-26,2,254593
2023-10-27,2,254680
2023-10-28,2,255011
2023-10-29,2,255291
2023-10-30,2,255623
2023-10-31,2,256092
2023-11-01,2,256255
2023-11-02,2,257081
2023-11-03,2,256220
2023-11-04,1,261494
2023-11-05,1,261539
2023-11-06,1,261782
2023-11-07,1,261657
2023-11-08,2,261839
2023-11-09,2,261704
2023-11-10,1,262109
2023-11-11,1,261867
2023-11-12,1,262375
2023-11-13,1,262648
2023-11-14,1,262717
2023-11-15,0,263565
2023-11-16,0,264252
2023-11-17,0,264646
2023-11-18,0,265078
2023-11-19,0,262077
2023-11-20,0,259574
2023-11-21,0,260057
2023-11-22,0,259648
2023-11-23,0,258684
2023-11-24,1,258430
2023-11-25,1,257999
2023-11-26,1,257664
2023-11-27,1,258062
2023-11-28,1,257519
2023-11-29,1,257724
2023-11-30,1,257726
2023-12-01,1,257909
2023-12-02,1,258215
2023-12-03,1,258325
2023-12-04,1,258383
2023-12-05,1,258037
2023-12-06,1,258418
2023-12-07,1,259001
2023-12-08,1,258015
2023-12-09,1,260420
2023-12-10,1,265779
2023-12-11,1,265868
2023-12-12,1,265425
2023-12-13,0,265234
2023-12-14,0,265516
2023-12-15,0,266052
2023-12-16,0,265922
2023-12-17,0,261263
2023-12-18,0,259596
2023-12-19,1,259672
2023-12-20,1,259835
2023-12-21,1,259680
2023-12-22,1,259426
2023-12-23,1,259573
2023-12-24,1,259914
2023-12-25,1,260177
2023-12-26,1,260472
2023-12-27,1,260717
2023-12-28,1,261244
2023-12-29,1,261573
2023-12-30,1,262072
2023-12-31,1,262656
2024-01-01,1,263207
2024-01-02,1,263765
2024-01-03,1,264726
2024-01-04,1,264726
2024-01-05,1,265196
2024-01-06,1,266249
2024-01-07,1,271260
2024-01-08,1,271546
2024-01-09,1,271453
2024-01-10,1,269359
2024-01-11,1,269472
2024-01-12,1,268561
2024-01-13,1,267593
2024-01-14,1,263839
2024-01-15,1,263352
2024-01-16,1,263787
2024-01-17,1,264088
2024-01-18,1,264148
2024-01-19,1,264578
2024-01-20,1,264692
2024-01-21,1,265060
2024-01-22,1,261267
2024-01-23,1,261489
2024-01-24,1,261685
2024-01-25,1,262171
2024-01-26,1,262760
2024-01-27,1,248946
2024-01-28,1,249517
2024-01-29,1,250215
2024-01-30,1,250415
2024-01-31,1,250273
2024-02-01,1,250338
2024-02-02,1,250321
2024-02-03,1,250028
2024-02-04,1,253237
2024-02-05,1,253218
2024-02-06,1,252714
2024-02-07,1,251971
2024-02-08,1,251555
2024-02-09,1,251488
2024-02-10,1,251279
2024-02-11,1,250849
2024-02-12,1,251420
2024-02-13,0,250954
2024-02-14,0,250427
2024-02-15,0,250321
2024-02-16,0,250016
2024-02-17,0,250084
2024-02-18,0,246822
2024-02-19,0,247053
2024-02-20,0,247254
2024-02-21,0,246897
2024-02-22,0,247127
2024-02-23,0,248322
2024-02-24,0,248506
2024-02-25,0,249773
2024-02-26,0,249683
2024-02-27,0,249391
2024-02-28,0,251708
2024-02-29,0,251492
2024-03-01,0,251086
2024-03-02,0,252187
2024-03-03,0,252741
2024-03-04,0,253554
2024-03-05,0,252413
2024-03-06,0,252413
2024-03-07,0,254724
2024-03-08,0,255416
2024-03-09,0,258019
2024-03-10,0,258701
2024-03-11,0,258971
2024-03-12,0,259345
2024-03-13,0,258962
2024-03-14,0,258418
2024-03-15,0,258153
2024-03-16,0,257595
2024-03-17,0,257177
2024-03-18,0,257325
2024-03-19,0,256987
2024-03-20,0,256613
2024-03-21,0,256576
2024-03-22,0,256911
2024-03-23,0,257303
2024-03-24,0,257891
2024-03-25,0,260044
2024-03-26,1,260425
2024-03-27,1,260772
2024-03-28,1,260608
2024-03-29,1,261513
2024-03-30,1,262596
2024-03-31,1,263047
2024-04-01,1,265864
2024-04-02,1,266670
2024-04-03,1,266755
2024-04-04,1,268518
2024-04-05,1,270300
2024-04-06,1,269827
2024-04-07,1,274653
2024-04-08,1,272981
2024-04-09,1,271921
2024-04-10,1,272913
2024-04-11,1,270736
2024-04-12,1,269459
2024-04-13,1,265673
2024-04-14,1,266018
2024-04-15,1,266289
2024-04-16,1,266289
2024-04-17,1,266289
2024-04-18,1,266289
2024-04-19,1,266289
2024-04-20,1,266289
2024-04-21,1,266289
2024-04-22,1,265175
2024-04-23,1,265543
2024-04-24,1,264937
2024-04-25,1,264780
2024-04-26,1,265081
2024-04-27,1,265386
2024-04-28,1,265406
2024-04-29,1,265321
2024-04-30,1,264954
2024-05-01,1,264909
2024-05-02,1,264226
2024-05-03,1,262300
2024-05-04,1,264081
2024-05-05,1,269006
2024-05-06,1,268068
2024-05-07,1,267560
2024-05-08,1,267003
2024-05-09,1,266271
2024-05-10,1,265733
2024-05-11,1,265503
2024-05-12,1,265492
2024-05-13,1,265437
2024-05-14,1,264591
2024-05-15,1,264473
2024-05-16,1,264432
2024-05-17,1,264228
2024-05-18,1,260167
2024-05-19,1,257631
2024-05-20,1,257615
2024-05-21,1,257455
2024-05-22,1,256020
2024-05-23,1,254600
2024-05-24,1,255574
2024-05-25,1,255496
2024-05-26,1,255007
2024-05-27,1,254776
2024-05-28,1,254756
2024-05-29,1,254662
2024-05-30,1,254691
2024-05-31,1,254598
2024-06-01,1,254242
2024-06-02,1,253909
2024-06-03,1,253759
2024-06-04,1,253966
2024-06-05,1,253989
2024-06-06,1,253443
2024-06-07,1,252097
2024-06-08,1,252246
2024-06-09,1,255183
2024-06-10,1,255355
2024-06-11,1,254598
2024-06-12,1,254300
2024-06-13,1,254125
2024-06-14,1,254060
2024-06-15,1,253905
2024-06-16,1,248288
2024-06-17,1,248526
2024-06-18,1,247765
2024-06-19,1,247061
2024-06-20,1,246210
2024-06-21,1,245516
2024-06-22,1,245340
2024-06-23,1,245138
2024-06-24,1,244942
2024-06-25,1,245032
2024-06-26,1,244987
2024-06-27,1,245007
2024-06-28,1,245075
2024-06-29,1,245091
2024-06-30,1,245337
2024-07-01,1,245360
2024-07-02,1,244784
2024-07-03,1,244433
2024-07-04,1,244039
2024-07-05,1,243467
2024-07-06,1,246506
2024-07-07,1,249524
2024-07-08,1,248910
2024-07-09,1,248218
2024-07-10,1,248250
2024-07-11,1,248509
2024-07-12,1,248638
2024-07-13,1,248536
2024-07-14,1,247540
2024-07-15,1,241971
2024-07-16,1,241935
2024-07-17,1,241741
2024-07-18,1,241416
2024-07-19,1,241126
2024-07-20,1,240392
2024-07-21,1,240380
2024-07-22,1,240379
2024-07-23,1,240695
2024-07-24,1,240662
2024-07-25,1,240563
2024-07-26,1,240147
2024-07-27,1,239462
2024-07-28,1,240157
2024-07-29,1,240687
2024-07-30,1,240748
2024-07-31,1,240734
2024-08-01,1,241728
2024-08-02,1,240920
2024-08-03,1,247084
2024-08-04,1,247220
2024-08-05,1,247306
2024-08-06,1,246981
2024-08-07,1,246762
2024-08-08,1,246087
2024-08-09,2,245800
2024-08-10,2,245787
2024-08-11,2,245970
2024-08-12,2,246226
2024-08-13,2,246208
2024-08-14,2,246189
2024-08-15,18699,245810
2024-08-16,9291,245594
2024-08-17,18666,245610
2024-08-18,18764,246617
2024-08-19,18488,243504
2024-08-20,1773,240944
2024-08-21,1781,241350
2024-08-22,18245,241346
2024-08-23,18274,241482
2024-08-24,18265,241516
2024-08-25,18229,241134
2024-08-26,18267,241841
2024-08-27,18303,242398
2024-08-28,45724,242773
2024-08-29,45697,242734
2024-08-30,3,243336
2024-08-31,3,243784
2024-09-01,3,243831
2024-09-02,3,244458
2024-09-03,3,244419
2024-09-04,45543,241016
2024-09-05,45537,241034
2024-09-06,92694,244235
2024-09-07,94164,247284
2024-09-08,94148,247274
2024-09-09,94186,247307
2024-09-10,141228,246903
2024-09-11,141231,246894
2024-09-12,188360,247163
2024-09-13,188709,247629
2024-09-14,188728,247687
2024-09-15,188966,247937
2024-09-16,185926,244933
2024-09-17,183898,242881
2024-09-18,183121,242187
2024-09-19,182946,242020
2024-09-20,182476,241684
2024-09-21,182264,241450
2024-09-22,182569,241738
2024-09-23,182464,241612
2024-09-24,182592,241871
2024-09-25,182142,241408
2024-09-26,181884,241174
2024-09-27,181214,240479
2024-09-28,180313,239584
2024-09-29,180937,240196
2024-09-30,181037,240232
