date,num_adbit
2023-05-08,18391
2023-05-09,18387
2023-05-10,18393
2023-05-11,18407
2023-05-12,18426
2023-05-13,18410
2023-05-14,18398
2023-05-15,18390
2023-05-16,18375
2023-05-17,18388
2023-05-18,18439
2023-05-19,18450
2023-05-20,18449
2023-05-21,18456
2023-05-22,18452
2023-05-23,18472
2023-05-24,18443
2023-05-25,18445
2023-05-26,18449
2023-05-27,18455
2023-05-28,18466
2023-05-29,18475
2023-05-30,18460
2023-05-31,18463
2023-06-01,18479
2023-06-02,18487
2023-06-03,18491
2023-06-04,18497
2023-06-05,18485
2023-06-06,18474
2023-06-07,18479
2023-06-08,18516
2023-06-09,18529
2023-06-10,18585
2023-06-11,18590
2023-06-12,18595
2023-06-13,18540
2023-06-14,18549
2023-06-15,18560
2023-06-16,18549
2023-06-17,18527
2023-06-18,18538
2023-06-19,18526
2023-06-20,18501
2023-06-21,18513
2023-06-22,18522
2023-06-23,18499
2023-06-24,18538
2023-06-25,18521
2023-06-26,18515
2023-06-27,18458
2023-06-28,18459
2023-06-29,18442
2023-06-30,18422
2023-07-01,18410
2023-07-02,18407
2023-07-03,18390
2023-07-04,18378
2023-07-05,18387
2023-07-06,18396
2023-07-07,18389
2023-07-08,18373
2023-07-09,18373
2023-07-10,18339
2023-07-11,18315
2023-07-12,18299
2023-07-13,18297
2023-07-14,18285
2023-07-15,18265
2023-07-16,18258
2023-07-17,18267
2023-07-18,18257
2023-07-19,18239
2023-07-20,18235
2023-07-21,18246
2023-07-22,18228
2023-07-23,18205
2023-07-24,18181
2023-07-25,18173
2023-07-26,18174
2023-07-27,18150
2023-07-28,18132
2023-07-29,18125
2023-07-30,18130
2023-07-31,18121
2023-08-01,18101
2023-08-02,19259
2023-08-03,19268
2023-08-04,19247
2023-08-05,19202
2023-08-06,19189
2023-08-07,19177
2023-08-08,19184
2023-08-09,19211
2023-08-10,19230
2023-08-11,19224
2023-08-12,19223
2023-08-13,19217
2023-08-14,19273
2023-08-15,19320
2023-08-16,19347
2023-08-17,19368
2023-08-18,19372
2023-08-19,19377
2023-08-20,19366
2023-08-21,19374
2023-08-22,19361
2023-08-23,19360
2023-08-24,19373
2023-08-25,19391
2023-08-26,19239
2023-08-27,19207
2023-08-28,19170
2023-08-29,19166
2023-08-30,19178
2023-08-31,19152
2023-09-01,19095
2023-09-02,18946
2023-09-03,18910
2023-09-04,18848
2023-09-05,18805
2023-09-06,18796
2023-09-07,18812
2023-09-08,18814
2023-09-09,18772
2023-09-10,18755
2023-09-11,18752
2023-09-12,18746
2023-09-13,18771
2023-09-14,18768
2023-09-15,18766
2023-09-16,18777
2023-09-17,18762
2023-09-18,18895
2023-09-19,18869
2023-09-20,18848
2023-09-21,18886
2023-09-22,18886
2023-09-23,18916
2023-09-24,18907
2023-09-25,18893
2023-09-26,18874
2023-09-27,18865
2023-09-28,18884
2023-09-29,18907
2023-09-30,18917
2023-10-01,18904
2023-10-02,18893
2023-10-03,18844
2023-10-04,18839
2023-10-05,18804
2023-10-06,18823
2023-10-07,18658
2023-10-08,18668
2023-10-09,18669
2023-10-10,18726
2023-10-11,18726
2023-10-12,18723
2023-10-13,18712
2023-10-14,18715
2023-10-15,18704
2023-10-16,18871
2023-10-17,18858
2023-10-18,18863
2023-10-19,18858
2023-10-20,18854
2023-10-21,18815
2023-10-22,18814
2023-10-23,18825
2023-10-24,18821
2023-10-25,18795
2023-10-26,18794
2023-10-27,18792
2023-10-28,18794
2023-10-29,18784
2023-10-30,18745
2023-10-31,18684
2023-11-01,18335
2023-11-02,18331
2023-11-03,18310
2023-11-04,18083
2023-11-05,18080
2023-11-06,18062
2023-11-07,18161
2023-11-08,18230
2023-11-09,18208
2023-11-10,18212
2023-11-11,18200
2023-11-12,18173
2023-11-13,18170
2023-11-14,18174
2023-11-15,18130
2023-11-16,18141
2023-11-17,18141
2023-11-18,18129
2023-11-19,18251
2023-11-20,18359
2023-11-21,18354
2023-11-22,18374
2023-11-23,18438
2023-11-24,18483
2023-11-25,18473
2023-11-26,18463
2023-11-27,18448
2023-11-28,18427
2023-11-29,18431
2023-11-30,18432
2023-12-01,18420
2023-12-02,18392
2023-12-03,18371
2023-12-04,18360
2023-12-05,18296
2023-12-06,18278
2023-12-07,18296
2023-12-08,18337
2023-12-09,18223
2023-12-10,18091
2023-12-11,18082
2023-12-12,18115
2023-12-13,18113
2023-12-14,18118
2023-12-15,18116
2023-12-16,18109
2023-12-17,18250
2023-12-18,18330
2023-12-19,18300
2023-12-20,18299
2023-12-21,18337
2023-12-22,18382
2023-12-23,18382
2023-12-24,18368
2023-12-25,18374
2023-12-26,18369
2023-12-27,18340
2023-12-28,18377
2023-12-29,18383
2023-12-30,18369
2023-12-31,18351
2024-01-01,18322
2024-01-02,18298
2024-01-03,18316
2024-01-04,18316
2024-01-05,18330
2024-01-06,18310
2024-01-07,18168
2024-01-08,18172
2024-01-09,18182
2024-01-10,18172
2024-01-11,18172
2024-01-12,18181
2024-01-13,18154
2024-01-14,18296
2024-01-15,18305
2024-01-16,18306
2024-01-17,18353
2024-01-18,18362
2024-01-19,18332
2024-01-20,18347
2024-01-21,18365
2024-01-22,18342
2024-01-23,18348
2024-01-24,18356
2024-01-25,18370
2024-01-26,18279
2024-01-27,18279
2024-01-28,18274
2024-01-29,18265
2024-01-30,18267
2024-01-31,18301
2024-02-01,18303
2024-02-02,18326
2024-02-03,18328
2024-02-04,18247
2024-02-05,18268
2024-02-06,18276
2024-02-07,18293
2024-02-08,18308
2024-02-09,18324
2024-02-10,18337
2024-02-11,18343
2024-02-12,18350
2024-02-13,18359
2024-02-14,18371
2024-02-15,18362
2024-02-16,18365
2024-02-17,18381
2024-02-18,18496
2024-02-19,18518
2024-02-20,18541
2024-02-21,18569
2024-02-22,18623
2024-02-23,18601
2024-02-24,18618
2024-02-25,18638
2024-02-26,18660
2024-02-27,18647
2024-02-28,18692
2024-02-29,18746
2024-03-01,18790
2024-03-02,18814
2024-03-03,18795
2024-03-04,18807
2024-03-05,18808
2024-03-06,18808
2024-03-07,18833
2024-03-08,18850
2024-03-09,18778
2024-03-10,18759
2024-03-11,18758
2024-03-12,18724
2024-03-13,18718
2024-03-14,18729
2024-03-15,18708
2024-03-16,18716
2024-03-17,18692
2024-03-18,18698
2024-03-19,18698
2024-03-20,18696
2024-03-21,18667
2024-03-22,18636
2024-03-23,18595
2024-03-24,18591
2024-03-25,18583
2024-03-26,18554
2024-03-27,18521
2024-03-28,18591
2024-03-29,18566
2024-03-30,18542
2024-03-31,18519
2024-04-01,18460
2024-04-02,18443
2024-04-03,18453
2024-04-04,18422
2024-04-05,18417
2024-04-06,18415
2024-04-07,18229
2024-04-08,18207
2024-04-09,18188
2024-04-10,18150
2024-04-11,18136
2024-04-12,18137
2024-04-13,18335
2024-04-14,18330
2024-04-15,18308
2024-04-16,17734
2024-04-17,18002
2024-04-18,17979
2024-04-19,17945
2024-04-20,17897
2024-04-21,17845
2024-04-22,17775
2024-04-23,18298
2024-04-24,18304
2024-04-25,18273
2024-04-26,18306
2024-04-27,18313
2024-04-28,18306
2024-04-29,18300
2024-04-30,18282
2024-05-01,18312
2024-05-02,18342
2024-05-03,18356
2024-05-04,18287
2024-05-05,18155
2024-05-06,18191
2024-05-07,18171
2024-05-08,18163
2024-05-09,18163
2024-05-10,18190
2024-05-11,18211
2024-05-12,18198
2024-05-13,18198
2024-05-14,18199
2024-05-15,18197
2024-05-16,18191
2024-05-17,18197
2024-05-18,18329
2024-05-19,18413
2024-05-20,18442
2024-05-21,18413
2024-05-22,18437
2024-05-23,18452
2024-05-24,18467
2024-05-25,18452
2024-05-26,18461
2024-05-27,18469
2024-05-28,18448
2024-05-29,18442
2024-05-30,18445
2024-05-31,18452
2024-06-01,18464
2024-06-02,18475
2024-06-03,18483
2024-06-04,18489
2024-06-05,18476
2024-06-06,18464
2024-06-07,18499
2024-06-08,18518
2024-06-09,18386
2024-06-10,18352
2024-06-11,18392
2024-06-12,18395
2024-06-13,18431
2024-06-14,18455
2024-06-15,18463
2024-06-16,18650
2024-06-17,18664
2024-06-18,18672
2024-06-19,18712
2024-06-20,18753
2024-06-21,18803
2024-06-22,18823
2024-06-23,18839
2024-06-24,18843
2024-06-25,18841
2024-06-26,18836
2024-06-27,18815
2024-06-28,18861
2024-06-29,18860
2024-06-30,18864
2024-07-01,18864
2024-07-02,18848
2024-07-03,18898
2024-07-04,18916
2024-07-05,18902
2024-07-06,18808
2024-07-07,18736
2024-07-08,18764
2024-07-09,18796
2024-07-10,18804
2024-07-11,18800
2024-07-12,18829
2024-07-13,18857
2024-07-14,18899
2024-07-15,19102
2024-07-16,19127
2024-07-17,19150
2024-07-18,19187
2024-07-19,19167
2024-07-20,19179
2024-07-21,19170
2024-07-22,19182
2024-07-23,19186
2024-07-24,19212
2024-07-25,19237
2024-07-26,19241
2024-07-27,19253
2024-07-28,19224
2024-07-29,19232
2024-07-30,19223
2024-07-31,19244
2024-08-01,19221
2024-08-02,19264
2024-08-03,19133
2024-08-04,19130
2024-08-05,19114
2024-08-06,19136
2024-08-07,19145
2024-08-08,19177
2024-08-09,19152
2024-08-10,19172
2024-08-11,19186
2024-08-12,19192
2024-08-13,19197
2024-08-14,19169
2024-08-15,19178
2024-08-16,19191
2024-08-17,19205
2024-08-18,19227
2024-08-19,19360
2024-08-20,19469
2024-08-21,19492
2024-08-22,19531
2024-08-23,19577
2024-08-24,19608
2024-08-25,19683
2024-08-26,19695
2024-08-27,19514
2024-08-28,19516
2024-08-29,19485
2024-08-30,19504
2024-08-31,19510
2024-09-01,19544
2024-09-02,19541
2024-09-03,19544
2024-09-04,19474
2024-09-05,19484
2024-09-06,19362
2024-09-07,19252
2024-09-08,19254
2024-09-09,19236
2024-09-10,19254
2024-09-11,19245
2024-09-12,19303
2024-09-13,19336
2024-09-14,19364
2024-09-15,19367
2024-09-16,19507
2024-09-17,19608
2024-09-18,19617
2024-09-19,19645
2024-09-20,19709
2024-09-21,19723
2024-09-22,19731
2024-09-23,19739
2024-09-24,19760
2024-09-25,19758
2024-09-26,19768
2024-09-27,19769
2024-09-28,19785
2024-09-29,19776
2024-09-30,19781
